Year;Odd;Continent;Pourcentage
2015;1;1;60
2016;1;1;65
2017;1;1;68
2018;1;1;72
2015;1;2;30
2016;1;2;35
2017;1;2;36
2018;1;2;42
2015;2;1;15
2016;2;1;20
2017;2;1;22
2018;2;1;35
2015;2;2;17
2016;2;2;25
2017;2;2;32
2018;2;2;40
2015;3;1;60
2016;3;1;62
2017;3;1;62
2018;3;1;67
2015;3;2;15
2016;3;2;17
2017;3;2;23
2018;3;2;42
2015;4;1;23
2016;4;1;27
2017;4;1;35
2018;4;1;45
2015;4;2;54
2016;4;2;58
2017;4;2;62
2018;4;2;68
2015;5;1;36
2016;5;1;45
2017;5;1;67
2018;5;1;94
2015;5;2;37
2016;5;2;48
2017;5;2;65
2018;5;2;78
2015;6;1;79
2016;6;1;83
2017;6;1;93
2018;6;1;96
2015;6;2;45
2016;6;2;48
2017;6;2;68
2018;6;2;87
2015;7;1;12
2016;7;1;20
2017;7;1;24
2018;7;1;29
2015;7;2;39
2016;7;2;47
2017;7;2;49
2018;7;2;58
2015;8;1;2
2016;8;1;14
2017;8;1;19
2018;8;1;68
2015;8;2;29
2016;8;2;49
2017;8;2;51
2018;8;2;58
2015;9;1;13
2016;9;1;24
2017;9;1;26
2018;9;1;59
2015;9;2;3
2016;9;2;8
2017;9;2;16
2018;9;2;25
2015;10;1;14
2016;10;1;25
2017;10;1;37
2018;10;1;87
2015;10;2;14
2016;10;2;36
2017;10;2;84
2018;10;2;98
2015;11;1;9
2016;11;1;16
2017;11;1;18
2018;11;1;36
2015;11;2;8
2016;11;2;19
2017;11;2;36
2018;11;2;45
2015;12;1;36
2016;12;1;49
2017;12;1;53
2018;12;1;57
2015;12;2;25
2016;12;2;28
2017;12;2;39
2018;12;2;47
2015;13;1;8
2016;13;1;45
2017;13;1;49
2018;13;1;58
2015;13;2;6
2016;13;2;18
2017;13;2;25
2018;13;2;59
2015;14;1;16
2016;14;1;18
2017;14;1;59
2018;14;1;68
2015;14;2;18
2016;14;2;78
2017;14;2;84
2018;14;2;98
2015;15;1;18
2016;15;1;29
2017;15;1;36
2018;15;1;65
2015;15;2;49
2016;15;2;57
2017;15;2;69
2018;15;2;82
2015;16;1;6
2016;16;1;9
2017;16;1;18
2018;16;1;29
2015;16;2;36
2016;16;2;48
2017;16;2;59
2018;16;2;68
2015;17;1;87
2016;17;1;89
2017;17;1;93
2018;17;1;96
2015;17;2;23
2016;17;2;28
2017;17;2;36
2018;17;2;48
